NAME,cluster,silhouette_local
Ajkai járás,3,0.34197575
Aszódi járás,3,0.3945506
Bácsalmási járás,2,0.8145158
Bajai járás,0,-0.038843594
Baktalórántházai járás,0,0.39732596
Balassagyarmati járás,0,0.29667506
Balatonalmádi járás,1,0.2856677
Balatonfüredi járás,1,0.3073397
Balmazújvárosi járás,0,0.2995096
Barcsi járás,1,0.26914802
Bátonyterenyei járás,0,0.17743377
Békéscsabai járás,4,-0.11851252
Békési járás,3,0.006288676
Bélapátfalvai járás,2,0.7803176
Berettyóújfalui járás,1,-0.07118431
Bicskei járás,3,0.39787778
Bólyi járás,0,0.28578857
Bonyhádi járás,3,0.38138866
Budakeszi járás,4,0.48275897
Ceglédi járás,3,0.43215108
Celldömölki járás,0,0.023955492
Cigándi járás,1,0.17083468
Csengeri járás,0,0.29843855
Csongrádi járás,3,0.13610992
Csornai járás,3,0.15985195
Csurgói járás,1,0.23254977
Dabasi járás,3,-0.025687467
Debreceni járás,4,0.4788813
Derecskei járás,0,0.22261328
Devecseri járás,1,-0.0042111543
Dombóvári járás,0,0.033178084
Dunakeszi járás,4,0.48490337
Dunaújvárosi járás,3,0.41588116
Edelényi járás,1,0.23191608
Egri járás,1,-0.13047071
Encsi járás,1,0.29199857
Enyingi járás,0,0.0384494
Érdi járás,4,0.5190705
Esztergomi járás,3,0.26108697
Fehérgyarmati járás,2,0.7594685
Fonyódi járás,1,0.3135669
Füzesabonyi járás,0,0.035607588
Gárdonyi járás,4,0.29012346
Gödöllői járás,4,0.49979135
Gönci járás,1,0.29857558
Gyáli járás,3,-0.14161763
Gyomaendrődi járás,0,0.294235
Gyöngyösi járás,3,0.23408848
Győri járás,4,0.45274755
Gyulai járás,0,-0.01954039
Hajdúböszörményi járás,0,0.0373242
Hajdúhadházi járás,0,0.1919821
Hajdúnánási járás,0,0.33073947
Hajdúszoboszlói járás,1,0.32384753
Hatvani járás,3,0.47477394
Hegyháti járás,1,0.2948642
Hevesi járás,0,0.41171962
Hódmezővásárhelyi járás,3,0.24678801
Ibrányi járás,0,0.38725284
Jánoshalmai járás,0,0.24801
Jászapáti járás,3,0.20513807
Jászberényi járás,3,0.3933748
Kalocsai járás,0,0.3018287
Kaposvári járás,1,-0.080220185
Kapuvári járás,0,0.0022355833
Karcagi járás,0,0.11155622
Kazincbarcikai járás,3,-0.0070104874
Kecskeméti járás,4,0.20301239
Kemecsei járás,0,0.32142034
Keszthelyi járás,1,0.3386579
Kisbéri járás,1,0.21692804
Kiskőrösi járás,0,0.18115865
Kiskunfélegyházi járás,3,0.29369348
Kiskunhalasi járás,3,0.28714487
Kiskunmajsai járás,2,0.8020307
Kisteleki járás,3,0.14615025
Kisvárdai járás,0,0.32173818
Komáromi járás,3,0.20737827
Komlói járás,3,0.27831152
Körmendi járás,0,0.053329322
Kőszegi járás,1,0.30416715
Kunhegyesi járás,0,0.39644358
Kunszentmártoni járás,0,0.21839406
Kunszentmiklósi járás,3,0.114005335
Lenti járás,1,0.3010737
Letenyei járás,1,0.3495889
Makói járás,0,0.08142768
Marcali járás,1,0.19639441
Martonvásári járás,3,0.40366307
Mátészalkai járás,0,0.33572525
Mezőcsáti járás,0,0.35875353
Mezőkovácsházai járás,1,-0.040811487
Mezőkövesdi járás,0,0.34747586
Mezőtúri járás,0,0.13615717
Miskolci járás,3,0.22058198
Mohácsi járás,0,0.35589176
Monori járás,3,0.2550338
Mórahalmi járás,0,0.11897213
Móri járás,3,0.3152341
Mosonmagyaróvári járás,3,0.08159433
Nagyatádi járás,1,0.16771634
Nagykállói járás,0,0.37951493
Nagykanizsai járás,1,0.12634501
Nagykátai járás,3,0.42642403
Nagykőrösi járás,3,0.42803
Nyíradonyi járás,0,0.37862575
Nyírbátori járás,0,0.3531804
Nyíregyházi járás,4,0.26661214
Orosházi járás,0,-0.021681009
Oroszlányi járás,3,0.42343205
Ózdi járás,0,0.2776704
Paksi járás,3,0.3063507
Pannonhalmi járás,0,0.019173034
Pápai járás,0,0.17586286
Pásztói járás,0,0.31868622
Pécsi járás,4,0.31694913
Pécsváradi járás,3,0.12950651
Pétervásárai járás,1,0.14081284
Pilisvörösvári járás,4,0.49440017
Putnoki járás,1,0.26859292
Püspökladányi járás,0,0.25618464
Ráckevei járás,3,0.4458814
Rétsági járás,0,0.18504173
Salgótarjáni járás,0,0.29598916
Sárbogárdi járás,0,0.12570837
Sarkadi járás,0,0.2253097
Sárospataki járás,1,0.12764893
Sárvári járás,1,0.066071875
Sátoraljaújhelyi járás,1,0.27168277
Sellyei járás,2,0.74992704
Siklósi járás,1,0.26563016
Siófoki járás,1,0.3367293
Soproni járás,4,0.11571256
Sümegi járás,0,0.34620044
Szarvasi járás,0,0.15762913
Szécsényi járás,1,0.09102906
Szegedi járás,4,0.459134
Szeghalmi járás,0,0.3509788
Székesfehérvári járás,4,0.21840526
Szekszárdi járás,3,0.17467038
Szentendrei járás,4,0.52009165
Szentesi járás,3,0.17733072
Szentgotthárdi járás,0,0.0136981495
Szentlőrinci járás,0,0.35287225
Szerencsi járás,0,0.4035108
Szigetszentmiklósi járás,4,0.37305295
Szigetvári járás,1,0.28430116
Szikszói járás,1,0.26423803
Szobi járás,3,0.15555057
Szolnoki járás,3,0.22949566
Szombathelyi járás,4,0.32810608
Tabi járás,1,-0.020797001
Tamási járás,1,-0.12126308
Tapolcai járás,1,0.22715273
Tatabányai járás,3,0.10079952
Tatai járás,4,0.4417594
Téti járás,3,0.19033444
Tiszafüredi járás,0,0.38343522
Tiszakécskei járás,3,0.4552255
Tiszaújvárosi járás,3,0.23709461
Tiszavasvári járás,0,0.34068605
Tokaji járás,1,0.26943982
Tolnai járás,3,0.44267583
Törökszentmiklósi járás,3,0.13182567
Váci járás,4,0.38396114
Várpalotai járás,3,0.3784605
Vásárosnaményi járás,0,0.2696533
Vasvári járás,1,0.20912148
Vecsési járás,4,0.37255257
Veszprémi járás,4,0.4914237
Záhonyi járás,0,0.3605702
Zalaegerszegi járás,1,0.025963716
Zalaszentgróti járás,1,0.21912523
Zirci járás,0,0.09649326
